18/12 22:49:13 INFO  Runner.initLogger - --- Updater started ---
18/12 22:49:13 INFO  Runner.main - args: [batch-install, D:\WebStorm 2019.3.3, C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\tmp\patch-update\WS-193.6494.34-193.6911.28-patch-jbr11-win.jar;C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\tmp\patch-update\WS-193.6911.28-193.7288.28-patch-jbr11-win.jar]
18/12 22:49:13 INFO  Runner.main - destFolder: D:\WebStorm 2019.3.3, case-sensitive: false
18/12 22:49:14 INFO  Runner.install - Extracting patch files...
18/12 22:49:14 INFO  Runner.install - Unpacking WS-193.6494.34-193.6911.28-patch-jbr11-win.jar
18/12 22:49:15 INFO  Utils.getTempFile - created a working directory: C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530
18/12 22:49:15 INFO  Utils.getZipEntry - entryPath: patch-file.zip
18/12 22:49:15 INFO  Runner.install - Unpacking WS-193.6911.28-193.7288.28-patch-jbr11-win.jar
18/12 22:49:15 INFO  Utils.getZipEntry - entryPath: patch-file.zip
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\jbr\bin\api-ms-win-core-synch-l1-1-0.dll -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\jbr\bin\api-ms-win-core-synch-l1-1-0.dll
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\jbr\bin\api-ms-win-core-synch-l1-2-0.dll -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\jbr\bin\api-ms-win-core-synch-l1-2-0.dll
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\jbr\bin\api-ms-win-core-sysinfo-l1-1-0.dll -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\jbr\bin\api-ms-win-core-sysinfo-l1-1-0.dll
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\jbr\bin\api-ms-win-core-timezone-l1-1-0.dll -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\jbr\bin\api-ms-win-core-timezone-l1-1-0.dll
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\jbr\bin\api-ms-win-core-util-l1-1-0.dll -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\jbr\bin\api-ms-win-core-util-l1-1-0.dll
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\jbr\bin\api-ms-win-crt-conio-l1-1-0.dll -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\jbr\bin\api-ms-win-crt-conio-l1-1-0.dll
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\jbr\bin\api-ms-win-crt-convert-l1-1-0.dll -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\jbr\bin\api-ms-win-crt-convert-l1-1-0.dll
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\jbr\bin\api-ms-win-crt-environment-l1-1-0.dll -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\jbr\bin\api-ms-win-crt-environment-l1-1-0.dll
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\jbr\bin\api-ms-win-crt-filesystem-l1-1-0.dll -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\jbr\bin\api-ms-win-crt-filesystem-l1-1-0.dll
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\jbr\bin\api-ms-win-crt-heap-l1-1-0.dll -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\jbr\bin\api-ms-win-crt-heap-l1-1-0.dll
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\jbr\bin\api-ms-win-crt-locale-l1-1-0.dll -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\jbr\bin\api-ms-win-crt-locale-l1-1-0.dll
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\jbr\bin\api-ms-win-crt-math-l1-1-0.dll -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\jbr\bin\api-ms-win-crt-math-l1-1-0.dll
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\jbr\bin\api-ms-win-crt-multibyte-l1-1-0.dll -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\jbr\bin\api-ms-win-crt-multibyte-l1-1-0.dll
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\jbr\bin\api-ms-win-crt-private-l1-1-0.dll -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\jbr\bin\api-ms-win-crt-private-l1-1-0.dll
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\jbr\bin\api-ms-win-crt-process-l1-1-0.dll -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\jbr\bin\api-ms-win-crt-process-l1-1-0.dll
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\jbr\bin\api-ms-win-crt-runtime-l1-1-0.dll -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\jbr\bin\api-ms-win-crt-runtime-l1-1-0.dll
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\jbr\bin\api-ms-win-crt-stdio-l1-1-0.dll -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\jbr\bin\api-ms-win-crt-stdio-l1-1-0.dll
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\jbr\bin\api-ms-win-crt-string-l1-1-0.dll -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\jbr\bin\api-ms-win-crt-string-l1-1-0.dll
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\jbr\bin\api-ms-win-crt-time-l1-1-0.dll -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\jbr\bin\api-ms-win-crt-time-l1-1-0.dll
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\jbr\bin\api-ms-win-crt-utility-l1-1-0.dll -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\jbr\bin\api-ms-win-crt-utility-l1-1-0.dll
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\jbr\bin\attach.dll -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\jbr\bin\attach.dll
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\jbr\bin\awt.dll -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\jbr\bin\awt.dll
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\jbr\bin\decora_sse.dll -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\jbr\bin\decora_sse.dll
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\jbr\bin\dt_shmem.dll -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\jbr\bin\dt_shmem.dll
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\jbr\bin\dt_socket.dll -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\jbr\bin\dt_socket.dll
18/12 22:49:15 INFO  Utils$2.visitFile -   D:\WebStorm 2019.3.3\jbr\bin\fontmanager.dll -> C:\Users\Ä«¶û±¾±ó\.WebStorm2019.3\system\log\idea.updater.files.3397772588278191530\backup.tmp.0\jbr\bin\fontmanager.dll
